TAGS,LEVEL,OMIT,NAME,LONGNAME,SEX,INCLUDE,PRE_CONDITIONS,CONDITIONS,OUTPAT_ICD,HD_MAINONLY,HD_ICD_10,HD_ICD_9,HD_ICD_8,HD_ICD_10_EXCL,HD_ICD_9_EXCL,HD_ICD_8_EXCL,COD_MAINONLY,COD_ICD_10,COD_ICD_9,COD_ICD_8,COD_ICD_10_EXCL,COD_ICD_9_EXCL,COD_ICD_8_EXCL,OPER_NOM,OPER_HL,OPER_HP1,OPER_HP2,KELA_REIMB,KELA_REIMB_ICD,KELA_ATC_NEEDOTHER,KELA_ATC,KELA_VNRO_NEEDOTHER,KELA_VNRO,CANC_TOPO,CANC_TOPO_EXCL,CANC_MORPH,CANC_MORPH_EXCL,CANC_BEHAV,Special
#ALL,#V1.1,,#_This_follow-up_coding_is_the_work_of_Tuomo_Kiiskinen_Aki.S.Havulinna_clinical_expert_groups_and_others_at_FIMM_and_THL._Use_freely_but_if_used_extensively_please_mention_the_source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#SHARED,#CD2",,,DEATH,,,,,,,,,,,,,,,ANY,ANY,ANY,,,,,,,,,,,,,,,,,,,
#ALCO,1,,ALCOHOL_RELATED,"Alcohol related diseases and deaths, all endoints",,ALCOHOLACUTE10|ALCOHOLMENTAL|ALCOHOLACUTE9|ALCONEURODEGEN|EPISEIZALCO|ALCOPOLYNEU|ALCOMYOP|CARMYOPATHALCO|ALCOGASTRITIS|ALCOLIVER|ALCOPANCACU|ALCOPANCCHRON|MATERNCAREFETUSALCO|FETUSALCO|FAS|ALCOADVICE|PSEUDOCUSHING|ALCOETHTOXIC|ALCOTOXIC|ALCO_PRESCRIPTION|ALCOPOISACCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ALCO,C,,AUD_SWEDISH,"Alcohol use disorder, Swedish definition",,ALCOHOLMENTAL|ALCOHOLACUTE9|ALCONEURODEGEN|EPISEIZALCO|ALCOPOLYNEU|ALCOMYOP|CARMYOPATHALCO|ALCOGASTRITIS|ALCOLIVER|ALCOPANCACU|ALCOPANCCHRON|MATERNCAREFETUSALCO|FETUSALCO|FAS|ALCOADVICE|PSEUDOCUSHING|ALCOETHTOXIC|ALCOTOXIC|ALCO_PRESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ALCO,C,,OFFICIAL_TILASTOKESKUS_DEATH,"Alcohol related diseases, tilastokeskus definition, death only",,K.ALCOHOLMENTAL|K.ALCOHOLACUTE10|K.ALCOHOLACUTE9|K.ALCONEURODEGEN|K.EPISEIZALCO|K.ALCOPOLYNEU|K.ALCOMYOP|K.CARMYOPATHALCO|K.ALCOGASTRITIS|K.ALCOLIVER|K.ALCOPANCACU|K.ALCOPANCCHRON|K.MATERNCAREFETUSALCO|K.FETUSALCO|K.FAS|K.ALCOPOISACCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ALCO,C,,OFFICIAL_TILASTOKESKUS,"Alcohol related diseases, tilastokeskus definition",,ALCOHOLMENTAL|ALCOHOLACUTE10|ALCOHOLACUTE9|ALCONEURODEGEN|EPISEIZALCO|ALCOPOLYNEU|ALCOMYOP|CARMYOPATHALCO|ALCOGASTRITIS|ALCOLIVER|ALCOPANCACU|ALCOPANCCHRON|MATERNCAREFETUSALCO|FETUSALCO|FAS|ALCOPOISACCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ALCO,2,,ALCOHOLMENTAL,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",,,,,,,F10,303|291,291|303,F100,,,,F10,303|291,291|303,F100,,,,,,,,,,,,,,,,,,
#ALCO,2,,ALCOHOLACUTE10,Acute alcohol intoxication,,,,,,,F100,$!$,$!$,,,,,F100,$!$,$!$,,,,,,,,,,,,,,,,,,,
#ALCO,2,,ALCOHOLACUTE9,Acute alcohol intoxication ICD-9 (inculed in Swedish definition),,,,,,,$!$,3050A,$!$,,,,,$!$,3050A,$!$,,,,,,,,,,,,,,,,,,,
#ALCO,2,,ALCONEURODEGEN,Degeneration of nervous system due to alcohol,,,,,,,G312,$!$,$!$,,,,,G312,$!$,$!$,,,,,,,,,,,,,,,,,,,
