TAGS,LEVEL,OMIT,NAME,LONGNAME,SEX,INCLUDE,PRE_CONDITIONS,CONDITIONS,OUTPAT_ICD,HD_MAINONLY,HD_ICD_10_ATC,HD_ICD_10,HD_ICD_9,HD_ICD_8,HD_ICD_10_EXCL,HD_ICD_9_EXCL,HD_ICD_8_EXCL,COD_MAINONLY,COD_ICD_10,COD_ICD_9,COD_ICD_8,COD_ICD_10_EXCL,COD_ICD_9_EXCL,COD_ICD_8_EXCL,OPER_NOM,OPER_HL,OPER_HP1,OPER_HP2,KELA_REIMB,KELA_REIMB_ICD,KELA_ATC_NEEDOTHER,KELA_ATC,KELA_VNRO_NEEDOTHER,KELA_VNRO,CANC_TOPO,CANC_TOPO_EXCL,CANC_MORPH,CANC_MORPH_EXCL,CANC_BEHAV,Special,version,PARENT,Latin
#ALL,#V1.2,,#_This_follow-up_coding_is_the_work_of_Tuomo_Kiiskinen_Aki.S.Havulinna_clinical_expert_groups_and_others_at_FIMM_and_THL._Use_freely_but_if_used_extensively_please_mention_the_source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF3,,
#SHARED,,,DEATH,Any death,,,,,,,,,,,,,,,ANY,ANY,ANY,,,,,,,,,,,,,,,,,,,,DF2,,
#ICDMAIN,1,1,ICDMAIN_ANY_ENTRY,Any ICDMAIN event in hilmo or causes of death,,I_INFECT_PARASIT|II_NEOPLASM|III_BLOOD_IMMUN|IV_ENDOCRIN_NUTRIT|V_MENTAL_BEHAV|VI_NERVOUS|VII_EYE_ADNEXA|VIII_EAR_MASTOID|IX_CIRCULATORY|X_RESPIRATORY|XI_DIGESTIVE|XII_SKIN_SUBCUTAN|XIII_MUSCULOSKELET|XIV_GENITOURINARY|XV_PREGNANCY_BIRTH|P16_CERTA_COND_ORIGINA_PERINA_PERIOD|Q17_CONGEN_MALFO_DEFORMAT_CHROMOSOMAL_ABNORMALITI|R18_SYMPTOMS_SIGNS_ABNORMAL_CLINI_LABOR_FINDI_NOT_ELSEW_CLASSIFIED|ST19_INJURY_POISO_CERTA_OTHER_CONSE_EXTER_CAUSES|VWXY20_EXTER_CAUSES_MORBIDI_MORTA|Z21_FACTO_INFLUENCI_HEALTH_STATUS_CONTACT_W_HEALTH_SERVI|U22_CODES_SPECIAL_PURPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF2,,
#ICDMAIN,2,1,I_INFECT_PARASIT,Certain infectious and parasitic diseases,,,,,,,,A|B,0|1[0-3],0|1[0-3],,,,,A|B,0|1[0-3],0|1[0-3],,,,,,,,,,,,,,,,,,,,DF2,,
#ICDMAIN,2,1,II_NEOPLASM,Neoplasms,,,,,,,,C|D[0-4],1[4-9]|2[0-3],1[4-9]|2[0-3],,,,,C|D[0-4],1[4-9]|2[0-3],1[4-9]|2[0-3],,,,,,,,,,,,,,,,,,,,DF2,,
#ICDMAIN,2,1,III_BLOOD_IMMUN,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,,,,,,,,D[5-8],28,28,,,,,D[5-8],28,28,,,,,,,,,,,,,,,,,,,,DF2,,
#ICDMAIN,2,1,IV_ENDOCRIN_NUTRIT,"Endocrine, nutritional and metabolic diseases",,,,,,,,E,2[4-7],2[4-7],,,,,E,2[4-7],2[4-7],,,,,,,,,,,,,,,,,,,,DF2,,
#ICDMAIN,2,1,V_MENTAL_BEHAV,Mental and behavioural disorders,,,,,,,,F,29|30|31,29|30|31,,,,,F,29|30|31,29|30|31,,,,,,,,,,,,,,,,,,,,DF2,,
#ICDMAIN,2,1,VI_NERVOUS,Diseases of the nervous system,,,,,,,,G,3[2-5],3[2-5],,,,,G,3[2-5],3[2-5],,,,,,,,,,,,,,,,,,,,DF2,,
#ICDMAIN,2,1,VII_EYE_ADNEXA,Diseases of the eye and adnexa,,,,,,,,H[0-5],3[6-7],3[6-7],,,,,H[0-5],3[6-7],3[6-7],,,,,,,,,,,,,,,,,,,,DF2,,
#ICDMAIN,2,1,VIII_EAR_MASTOID,Diseases of the ear and mastoid process,,,,,,,,H[6-9],38,38,,,,,H[6-9],38,38,,,,,,,,,,,,,,,,,,,,DF2,,
#ICDMAIN,2,1,IX_CIRCULATORY,Diseases of the circulatory system,,,,,,,,I,39|4[0-5],39|4[0-5],,,,,I,39|4[0-5],39|4[0-5],,,,,,,,,,,,,,,,,,,,DF2,,
#ICDMAIN,2,1,X_RESPIRATORY,Diseases of the respiratory system,,,,,,,,J,4[6-9]|5[0-1],4[6-9]|5[0-1],,,,,J,4[6-9]|5[0-1],4[6-9]|5[0-1],,,,,,,,,,,,,,,,,,,,DF2,,
#ICDMAIN,2,1,XI_DIGESTIVE,Diseases of the digestive system,,,,,,,,K,5[2-7],5[2-7],,,,,K,5[2-7],5[2-7],,,,,,,,,,,,,,,,,,,,DF2,,
#ICDMAIN,2,1,XII_SKIN_SUBCUTAN,Diseases of the skin and subcutaneous tissue,,,,,,,,L,6[8-9]|70,6[8-9]|70,,,,,L,6[8-9]|70,6[8-9]|70,,,,,,,,,,,,,,,,,,,,DF2,,
#ICDMAIN,2,1,XIII_MUSCULOSKELET,Diseases of the musculoskeletal system and connective tissue,,,,,,,,M,7[1-3],7[1-3],,,,,M,7[1-3],7[1-3],,,,,,,,,,,,,,,,,,,,DF2,,
#ICDMAIN,2,1,XIV_GENITOURINARY,Diseases of the genitourinary system,,,,,,,,N,5[8-9]|6[0-2],5[8-9]|6[0-2],,,,,N,5[8-9]|6[0-2],5[8-9]|6[0-2],,,,,,,,,,,,,,,,,,,,DF2,,
#ICDMAIN,2,1,XV_PREGNANCY_BIRTH,"Pregnancy, childbirth and the puerperium",2,,,,,,,O,6[3-7],6[3-7],,,,,O,6[3-7],6[3-7],,,,,,,,,,,,,,,,,,,,DF2,,
"#ICDMAIN,#P16",1,1,P16_CERTA_COND_ORIGINA_PERINA_PERIOD,Certain conditions originating in the perinatal period,,,,,,,,P,7[6-7],7[6-7],,,,,P,7[6-7],7[6-7],,,,,,,,,,,,,,,,,,,XVI_PERINATAL,DF4,,
"#ICDMAIN,#Q17",1,1,Q17_CONGEN_MALFO_DEFORMAT_CHROMOSOMAL_ABNORMALITI,"Congenital malformations, deformations and chromosomal abnormalities",,,,,,,,Q,7[4-5],7[4-5],,,,,Q,7[4-5],7[4-5],,,,,,,,,,,,,,,,,,,XVII_MALFORMAT_ABNORMAL,DF4,,
"#ICDMAIN,#R18",1,1,R18_SYMPTOMS_SIGNS_ABNORMAL_CLINI_LABOR_FINDI_NOT_ELSEW_CLASSIFIED,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",,,,,,,,R,7[8-9],7[8-9],,,,,R,7[8-9],7[8-9],,,,,,,,,,,,,,,,,,,XVIII_MISCFINDINGS,DF4,,
"#ICDMAIN,#ST19",1,1,ST19_INJURY_POISO_CERTA_OTHER_CONSE_EXTER_CAUSES,"Injury, poisoning and certain other consequences of external causes",,,,,,,,S|T,8|9,8|9,,,,,S|T,8|9,8|9,,,,,,,,,,,,,,,,,,,XIX_INJURY_POISON,DF4,,
"#ICDMAIN,#VWXY20",1,1,VWXY20_EXTER_CAUSES_MORBIDI_MORTA,External causes of morbidity and mortality,,,,,,,,V|W|X|Y,E,E,,,,,V|W|X|Y,E,E,,,,,,,,,,,,,,,,,,,XX_EXTERNAL_MORB_MORT,DF4,,
"#ICDMAIN,#Z21",1,1,Z21_FACTO_INFLUENCI_HEALTH_STATUS_CONTACT_W_HEALTH_SERVI,Factors influencing health status and contact with health services,,,,,,,,Z,V,Y,,,,,Z,V,Y,,,,,,,,,,,,,,,,,,,XXI_HEALTHFACTORS,DF4,,
"#ICDMAIN,#U22",1,1,U22_CODES_SPECIAL_PURPO,Codes for special purposes,,,,,,,,U,$!$,$!$,,,,,U,$!$,$!$,,,,,,,,,,,,,,,,,,,XXII_SPECIAL,DF4,,
"#AB1,#GASTRO_CM",,,ENTEROPATH_E_COLI,Enteropathogenic Escherichia coli infection,,,,,,,,A040,$!$,$!$,,,,,A040,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,A04,Infectio ab Escherichia coli enteropathogenica
"#AB1,#GASTRO_CM",,,EHEC,Enterohaemorrhagic Escherichia coli infection,,,,,,,,A043,$!$,$!$,,,,,A043,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,A04,Infectio ab Escherichia coli enterohaemorrhagica
"#AB1,#GASTRO_CM",,,CAMPYLOENTERITIS,Campylobacter enteritis,,,,,,,,A045,0084E,$!$,,,,,A045,0084E,$!$,,,,,,,,,,,,,,,,,,,,DF2,A04,Enteritis campylobacterialis
"#AB1,#GASTRO_CM",,,YERSINIAENTERITIS,Ynteritis due to Yersinia enterocolitica,,,,,,,,A046,0084D,$!$,,,,,A046,0084D,$!$,,,,,,,,,,,,,,,,,,,,DF2,A04,Enteritis a Yersinia enterocolitica
"#AB1,#GASTRO_CM",,,C_DIFFICILE_ENTEROCOLITIS,Enterocolitis due to Clostridium difficile,,,,,,,,A047,0084F,$!$,,,,,A047,0084F,$!$,,,,,,,,,,,,,,,,,,,,DF2,A04,Enterocolitis a Clostridio difficili
"#AB1,#GASTRO_CM",,,BACT_INTEST_INFECTION_NOS,Other specified/unspecified bacterial intestinal infections,,,,,,,,A04[8-9],0085X,008[2-3],,,,,A04[8-9],0085X,008[2-3],,,,,,,,,,,,,,,,,,,,DF2,,
"#AB1,#GASTRO_CM",,1,IBD_CMV,"Cytomegalovirus infection, IBD co-morbidity",,CMV_PNEUMONIA|CMV_HEPATITIS|CMV_PANCREATITIS|CMV_NOS,,,,,,B25,,,,,,,B25,,,,,,,,,,,,,,,,,,,,,,DF2,B25-B34,Morbus cytomegaloviralis
"#AB1,#GASTRO_CM",,,CMV_PNEUMONIA,Cytomegaloviral pneumonitis,,,,,,,,B250,0785C,$!$,,,,,B250,0785C,$!$,,,,,,,,,,,,,,,,,,,,DF2,,
"#AB1,#GASTRO_CM",,,CMV_HEPATITIS,Cytomegaloviral hepatitis,,,,,,,,B251,0785B,$!$,,,,,B251,0785B,$!$,,,,,,,,,,,,,,,,,,,,DF2,,
"#AB1,#GASTRO_CM",,,CMV_PANCREATITIS,Cytomegaloviral pancreatitis,,,,,,,,B252,$!$,$!$,,,,,B252,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,,
"#AB1,#GASTRO_CM",,,CMV_NOS,Other/unspecified cytomegaloviral diseases,,,,,,,,B25[8-9],0785X,0795,,,,,B25[8-9],0785X,0795,,,,,,,,,,,,,,,,,,,,DF2,,
"#AB1,#GASTRO_CM",,1,IBD_TUBERCULOSIS,"Tuberculosis, IBD comorbidity",,TBC_RESP|TBC_NEURO|TBC_OTHER_ORGANS|TBC_MILIARY,,,,,,A1[5-9],,,,,,,A1[5-9],,,,,,,,,,,,,,,,,,,,,,DF2,,
"#AB1,#GASTRO_CM",,,TBC_RESP,Respiratory tuberculosis,,TBC_RESP_ICD8|TBC_RESP_HISTOBACT|TBC_RESP_CLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF2,,
"#AB1,#GASTRO_CM",,2,IBD_VIRAL_HEPATITIS,"Viral hepatitis, IBD co-morbidity",,HEPATITIS_A|HEPATITIS_B|HEPATITIS_ACUTE_OTHER_VIRAL|HEPATITIS_CHRONIC_VIRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF2,,
"#AB1,#GASTRO_CM",,2,HEPATITIS_A,Acute hepatitis A,,,,,,,,B15,070[0-1],$!$,,,,,B15,070[0-1],$!$,,,,,,,,,,,,,,,,,,,,DF2,B15-B19,Hepatitis A acuta
"#AB1,#GASTRO_CM",,2,HEPATITIS_B,Acute hepatitis B,,,,,,,,B16,070[2-3],$!$,,,,,B16,070[2-3],$!$,,,,,,,,,,,,,,,,,,,,DF2,B15-B19,Hepatitis B acuta
"#AB1,#GASTRO_CM",,2,HEPATITIS_ACUTE_OTHER_VIRAL,Other acute viral hepatitis,,,,,,,,B17,070[4-9],$!$,,,,,B17,070[4-9],$!$,,,,,,,,,,,,,,,,,,,,DF2,B15-B19,Alia hepatitis viralis acuta
"#AB1,#GASTRO_CM",,2,HEPATITIS_CHRONIC_VIRAL,Chronic viral hepatitis,,,,,,,,B18,$!$,$!$,,,,,B18,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF2,B15-B19,Hepatitis viralis chronica
