NAME,LONGNAME,release,valid,efo_cls,efo_label,xref_source,xref,simple_xref,quality
AB1_ARTHROPOD,Arthropod-borne viral fevers and viral haemorrhagic fevers,r2,TRUE,http://purl.obolibrary.org/obo/MONDO_0018087,viral hemorrhagic fever,OLS_API_EFO_lookup,NA,NA,fuzzy
AB1_ARTHROPOD,Arthropod-borne viral fevers and viral haemorrhagic fevers,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0000763,viral disease,ICD_10,A9[2-9],A94,NA
AB1_BACT_BIR_OTHER_INF_AGENTS,"Bacterial, viral and other infectious agents",r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0000771,bacterial disease,manual,NA,NA,NA
AB1_BACT_BIR_OTHER_INF_AGENTS,"Bacterial, viral and other infectious agents",r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0000763,viral disease,manual,NA,NA,NA
AB1_BACT_BIR_OTHER_INF_AGENTS,"Bacterial, viral and other infectious agents",r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0005741,infectious disease,manual,NA,NA,NA
AB1_HELMINTIASES,Helminthiases,r3,FALSE,http://purl.obolibrary.org/obo/MONDO_0016075,filariasis,ICD_10,B6[5-9]|B7[0-9]|B8[0-3],B74,
AB1_HELMINTIASES,Helminthiases,r3,FALSE,http://purl.obolibrary.org/obo/MONDO_0025082,"helminthiasis, animal",OLS_API_EFO_lookup,,,fuzzy
AB1_HELMINTIASES,Helminthiases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007154,ascariasis,ICD_10,B6[5-9]|B7[0-9]|B8[0-3],B77,
AB1_HELMINTIASES,Helminthiases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007155,ascaridiasis,ICD_10,B6[5-9]|B7[0-9]|B8[0-3],B77,
AB1_HELMINTIASES,Helminthiases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007231,cysticercosis,ICD_10,B6[5-9]|B7[0-9]|B8[0-3],B69,
AB1_HELMINTIASES,Helminthiases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007241,dracunculiasis,ICD_10,B6[5-9]|B7[0-9]|B8[0-3],B72,
AB1_HELMINTIASES,Helminthiases,r3,TRUE,http://www.ebi.ac.uk/efo/EFO_0007245,echinococcosis,ICD_10;ICD_9,B6[5-9]|B7[0-9]|B8[0-3];12[0-3],B67;122,
AB1_HELMINTIASES,Helminthiases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007254,enterobiasis,ICD_10,B6[5-9]|B7[0-9]|B8[0-3],B80,
AB1_HELMINTIASES,Helminthiases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007314,hookworm infectious disease,ICD_10,B6[5-9]|B7[0-9]|B8[0-3],B76,
AB1_HELMINTIASES,Helminthiases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007402,onchocerciasis,ICD_10,B6[5-9]|B7[0-9]|B8[0-3],B73,
AB1_HELMINTIASES,Helminthiases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007501,strongyloidiasis,ICD_10,B6[5-9]|B7[0-9]|B8[0-3],B78,
AB1_HELMINTIASES,Helminthiases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007520,trichinosis,ICD_10,B6[5-9]|B7[0-9]|B8[0-3],B75,
AB1_HELMINTIASES,Helminthiases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007524,trichuriasis,ICD_10,B6[5-9]|B7[0-9]|B8[0-3],B79,
AB1_HELMINTIASES,Helminthiases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0009561,parasitic intestinal disease,ICD_10,B6[5-9]|B7[0-9]|B8[0-3],B82,
AB1_HELMINTIASES,Helminthiases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_1001287,cestode infections,ICD_10,B6[5-9]|B7[0-9]|B8[0-3],B71,
AB1_HELMINTIASES,Helminthiases,r3,TRUE,http://www.ebi.ac.uk/efo/EFO_1001342,helminthiasis,ICD_10,B6[5-9]|B7[0-9]|B8[0-3],B66;B83,
AB1_HELMINTIASES,Helminthiases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_1001433,taeniasis,ICD_10,B6[5-9]|B7[0-9]|B8[0-3],B68,
AB1_HELMINTIASES,Helminthiases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_1001438,trematode infections,ICD_9,12[0-3],121,
AB1_HELMINTIASES,Helminthiases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_1001475,schistosomiasis,ICD_10,B6[5-9]|B7[0-9]|B8[0-3],B65,
AB1_HIV,Human immunodeficiency virus [HIV] disease,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0000764,hiv infection,ICD_10;OLS_API_EFO_lookup,B2[0-4],B20;B24,match
AB1_INFECTIONS,Certain infectious and parasitic diseases,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0001067,parasitic infection,OLS_API_EFO_lookup,NA,NA,fuzzy
AB1_INFECTIONS,Certain infectious and parasitic diseases,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0005741,infectious disease,manual,NA,NA,NA
AB1_INTESTINAL_INFECTIONS,Intestinal infectious diseases,r2,TRUE,http://purl.obolibrary.org/obo/MONDO_0000916,intestinal infectious disease,OLS_API_EFO_lookup,NA,NA,fuzzy
AB1_MYCOSES,Mycoses,r2,TRUE,http://purl.obolibrary.org/obo/MONDO_0002041,fungal infectious disease,ICD_10;OLS_API_EFO_lookup,B3[5-9]|B4[0-9],B49,match
AB1_OTHER_BACTERIAL,Other bacterial diseases,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0000771,bacterial disease,manual,NA,NA,NA
AB1_OTHER_CHLAMYDIAE,Other diseases caused by chlamydiae,r3,FALSE,http://purl.obolibrary.org/obo/MONDO_0024294,skin disease caused by infection,OLS_API_EFO_lookup,,,fuzzy
AB1_OTHER_CHLAMYDIAE,Other diseases caused by chlamydiae,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007410,ornithosis,ICD_10,A7[0-4],A70,
AB1_OTHER_CHLAMYDIAE,Other diseases caused by chlamydiae,r3,TRUE,http://www.ebi.ac.uk/efo/EFO_1001288,chlamydiaceae infections,ICD_10,A7[0-4],A70,
AB1_OTHER_INFECTIONS,Other infectious diseases,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0005741,infectious disease,ICD_9,136[8-9],1368;1369,NA
AB1_OTHER_SPIROCHAETAL,Other spirochaetal diseases,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0009567,spirochaetales infections,ICD_10,A6[5-9],A69,NA
AB1_OTHER_VIRAL,Other viral diseases,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0000763,viral disease,ICD_10,B2[5-9]|B3[0-4],B34,NA
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST,"Pediculosis, acariasis and other infestations",r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0001067,parasitic infection,ICD_10,B8[5-9],B88,NA
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST,"Pediculosis, acariasis and other infestations",r2,TRUE,http://purl.obolibrary.org/obo/MONDO_0004389,mite infestation,ICD_9,13[2-4],133,NA
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST,"Pediculosis, acariasis and other infestations",r2,TRUE,http://purl.obolibrary.org/obo/MONDO_0003472,lice infestation,MONDO TERM NOT IN EFO,NA,NA,NA
AB1_PROTOZOAL,Protozoal diseases,r3,FALSE,http://purl.obolibrary.org/obo/DOID_10113,trypanosomiasis,ICD_10;ICD_9,B5[0-9]|B6[0-4];08[4-6]|130|136[3-4]|0889,B56;086,
AB1_PROTOZOAL,Protozoal diseases,r3,FALSE,http://purl.obolibrary.org/obo/MONDO_0001444,chagas disease,ICD_10,B5[0-9]|B6[0-4],B57,
AB1_PROTOZOAL,Protozoal diseases,r3,FALSE,http://purl.obolibrary.org/obo/MONDO_0001955,protozoal dysentery,OLS_API_EFO_lookup,,,fuzzy
AB1_PROTOZOAL,Protozoal diseases,r3,TRUE,http://purl.obolibrary.org/obo/MONDO_0002428,protozoa infectious disease,ICD_10,B5[0-9]|B6[0-4],B64,
AB1_PROTOZOAL,Protozoal diseases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0001067,parasitic infection,ICD_9,08[4-6]|130|136[3-4]|0889,1364,
AB1_PROTOZOAL,Protozoal diseases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0001068,malaria,ICD_10;ICD_9,B5[0-9]|B6[0-4];08[4-6]|130|136[3-4]|0889,B53;B54;084,
AB1_PROTOZOAL,Protozoal diseases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0005044,leishmaniasis,ICD_10;ICD_9,B5[0-9]|B6[0-4];08[4-6]|130|136[3-4]|0889,B55;085,
AB1_PROTOZOAL,Protozoal diseases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0005225,human african trypanosomiasis,ICD_10,B5[0-9]|B6[0-4],B56,
AB1_PROTOZOAL,Protozoal diseases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007444,plasmodium falciparum malaria,ICD_10,B5[0-9]|B6[0-4],B50,
AB1_PROTOZOAL,Protozoal diseases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007445,plasmodium vivax malaria,ICD_10,B5[0-9]|B6[0-4],B51,
AB1_PROTOZOAL,Protozoal diseases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007448,pneumocystosis,ICD_10;ICD_9,B5[0-9]|B6[0-4];08[4-6]|130|136[3-4]|0889,B59;1363,
AB1_PROTOZOAL,Protozoal diseases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007517,toxoplasmosis,ICD_10,B5[0-9]|B6[0-4],B58,
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES,Sequelae of infectious and parasitic diseases,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0001067,parasitic infection,OLS_API_EFO_lookup,NA,NA,fuzzy
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES,Sequelae of infectious and parasitic diseases,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0005741,infectious disease,manual,NA,NA,NA
AB1_SEXUAL_TRANSMISSION,Infections with a predominantly sexual mode of transmission,r2,TRUE,http://purl.obolibrary.org/obo/MONDO_0021681,sexually transmitted disease,manual,NA,NA,NA
AB1_TUBERCULOSIS,Tuberculosis,r2,TRUE,http://www.orpha.net/ORDO/Orphanet_3389,tuberculosis,ICD_10;Zooma_API_lookup,A1[5-9],A18,match
AB1_VIRAL_CNS,Viral infections of the central nervous system,r2,TRUE,http://purl.obolibrary.org/obo/MONDO_0024318,viral infection of central nervous system,manual,NA,NA,NA
AB1_VIRAL_HEPATITIS,Viral hepatitis,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0007540,viral hepatitis,EFO_OBO,NA,NA,match
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE,Viral infections characterized by skin and mucous membrane lesions,r2,TRUE,http://purl.obolibrary.org/obo/MONDO_0024294,skin disease caused by infection,manual,NA,NA,NA
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE,Viral infections characterized by skin and mucous membrane lesions,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0000763,viral disease,manual,NA,NA,NA
AB1_ZOONOTIC_BACTERIAL,Certain zoonotic bacterial diseases,r3,TRUE,http://purl.obolibrary.org/obo/MONDO_0044746,zoonotic bacterial infection,OLS_API_EFO_lookup,,,fuzzy
AB1_ZOONOTIC_BACTERIAL,Certain zoonotic bacterial diseases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0000778,anthrax infection,ICD_10;ICD_9,A2[0-8];02[0-7]|B783A,A22;022,
AB1_ZOONOTIC_BACTERIAL,Certain zoonotic bacterial diseases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007185,brucellosis,ICD_10;ICD_9,A2[0-8];02[0-7]|B783A,A23;023,
AB1_ZOONOTIC_BACTERIAL,Certain zoonotic bacterial diseases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007286,glanders,ICD_9,02[0-7]|B783A,24,
AB1_ZOONOTIC_BACTERIAL,Certain zoonotic bacterial diseases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007344,leptospirosis,ICD_10,A2[0-8],A27,
AB1_ZOONOTIC_BACTERIAL,Certain zoonotic bacterial diseases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0009425,yersinia pestis infectious disease,ICD_10;ICD_9,A2[0-8];02[0-7]|B783A,A20;020,
AB1_ZOONOTIC_BACTERIAL,Certain zoonotic bacterial diseases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_1000928,erysipelothrix rhusiopathiae infectious disease,ICD_10,A2[0-8],A26,
AB1_ZOONOTIC_BACTERIAL,Certain zoonotic bacterial diseases,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_1001444,tularemia,ICD_10,A2[0-8],A21,
ABDOM_HERNIA,Hernia of abodminal wall,r3,TRUE,http://www.ebi.ac.uk/efo/EFO_1001866,ventral hernia,OLS_API_EFO_lookup,,,fuzzy
ABDOM_HERNIA_POSTOP,"Hernia of abodminal wall, postoperative",r3,TRUE,http://www.ebi.ac.uk/efo/EFO_1001866,ventral hernia,OLS_API_EFO_lookup,,,fuzzy
ABDOM_HERNIA_POSTOP,"Hernia of abodminal wall, postoperative",r3,TRUE,http://www.ebi.ac.uk/efo/EFO_0009951,response to surgery,manual,,,
ABDOMINALPAIN,Pain in abdomen/pelvis,r3,TRUE,http://www.ebi.ac.uk/efo/EFO_0003766,pain in abdomen,OLS_API_EFO_lookup,,,fuzzy
ACUTE_RESPIRATORY_INFECTIONS,Asthma/COPD-related acute respiratory infections,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0000341,chronic obstructive pulmonary disease,manual,NA,NA,NA
ACUTE_RESPIRATORY_INFECTIONS,Asthma/COPD-related acute respiratory infections,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0000270,asthma,OLS_API_EFO_lookup,NA,NA,fuzzy
AD_AM,Alzheimer’s disease (Atypical or mixed),r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007374,mixed connective tissue disease,OLS_API_EFO_lookup,,,fuzzy
AD_AM_EXMORE,Alzheimer's disease (Atypical or mixed),r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0000249,alzheimer's disease,OLS_API_EFO_lookup,NA,NA,fuzzy
AD_AM,Alzheimer’s disease (Atypical or mixed),r3,TRUE,http://www.ebi.ac.uk/efo/EFO_0000249,Alzheimer's disease,manual,,,
AD_EO,Alzheimer’s disease (Early onset),r3,FALSE,http://www.orpha.net/ORDO/Orphanet_324290,early-onset lafora body disease,OLS_API_EFO_lookup,,,fuzzy
AD_EO_EXMORE,Alzheimer�s disease (Early onset),r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0000249,alzheimer's disease,manual,NA,NA,NA
AD_EO,Alzheimer’s disease (Early onset),r3,TRUE,http://www.ebi.ac.uk/efo/EFO_0000249,Alzheimer's disease,manual,,,
AD_LO,Alzheimer’s disease (Late onset),r3,TRUE,http://www.ebi.ac.uk/efo/EFO_1001870,late-onset alzheimers disease,OLS_API_EFO_lookup,,,fuzzy
AD_LO_EXMORE,Alzheimer�s disease (Late onset),r2,TRUE,http://www.ebi.ac.uk/efo/EFO_1001870,late-onset alzheimers disease,OLS_API_EFO_lookup,NA,NA,fuzzy
AD_U,Alzheimer’s disease (undefined),r3,FALSE,http://www.ebi.ac.uk/efo/EFO_0007473,ritter's disease,OLS_API_EFO_lookup,,,fuzzy
ALCO_PRESCRIPTION,"Use of disulfiram, acamprosate or naltrexone",r2,TRUE,http://purl.obolibrary.org/obo/GO_0042493,response to drug,manual,NA,NA,NA
ALCOETHTOXIC,Toxic effect of ethanol,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0003829,alcohol dependence,manual,NA,NA,NA
AD_U,Alzheimer’s disease (undefined),r3,TRUE,http://www.ebi.ac.uk/efo/EFO_0000249,Alzheimer's disease,manual,,,
ALCOGASTRITIS,Alcoholic gastritis,r3,TRUE,http://www.ebi.ac.uk/efo/EFO_0000217,gastritis,OLS_API_EFO_lookup,,,fuzzy
ALCOHOL_RELATED,"Alcohol related diseases and deaths, all endoints",r2,TRUE,http://purl.obolibrary.org/obo/MONDO_0021698,alcohol-related disorders,manual,NA,NA,NA
ALCOHOLACUTE10,Acute alcohol intoxication,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0003829,alcohol dependence,OLS_API_EFO_lookup,NA,NA,fuzzy
ALCOHOLACUTE9,Acute alcohol intoxication ICD-9 (inculed in Swedish definition),r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0003829,alcohol dependence,manual,NA,NA,NA
ALCOHOLMENTAL,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0000677,mental or behavioural disorder,OLS_API_EFO_lookup,NA,NA,fuzzy
ALCOHOLMENTAL,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",r2,TRUE,http://purl.obolibrary.org/obo/MONDO_0021698,alcohol-related disorders,manual,NA,NA,NA
ALCOGASTRITIS,Alcoholic gastritis,r3,TRUE,http://purl.obolibrary.org/obo/MONDO_0021699,alcohol-induced disorders,manual,,,
ALCOLIVER,Alcoholic liver disease,r3,FALSE,http://purl.obolibrary.org/obo/MONDO_0004790,fatty liver disease,ICD_9,571[0-3],5710,
ALCOLIVER,Alcoholic liver disease,r3,TRUE,http://www.ebi.ac.uk/efo/EFO_0008573,alcoholic liver disease,EFO_OBO,,,match
ALCOLIVER,Alcoholic liver disease,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_1000802,alcoholic liver cirrhosis,ICD_9,571[0-3],5712,
ALCOLIVER,Alcoholic liver disease,r3,FALSE,http://www.ebi.ac.uk/efo/EFO_1001345,"hepatitis, alcoholic",ICD_9,571[0-3],5711,
ALCONEURODEGEN,Degeneration of nervous system due to alcohol,r3,FALSE,http://purl.obolibrary.org/obo/MONDO_0000648,nervous system benign neoplasm,OLS_API_EFO_lookup,,,fuzzy
ALCOPANCACU,Acohol-induced acute pancreatitis,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_1002013,alcoholic pancreatitis,manual,NA,NA,NA
ALCOPANCCHRON,Alcohol-induced chronic pancreatitis,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_1002013,alcoholic pancreatitis,manual,NA,NA,NA
ALCOTOXIC,Toxic effect of unspecified or or other (than ethanol) alcohols,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0003829,alcohol dependence,manual,NA,NA,NA
ALCONEURODEGEN,Degeneration of nervous system due to alcohol,r3,TRUE,http://www.ebi.ac.uk/efo/EFO_0000618,nervous system disease,manual,,,
ALCONEURODEGEN,Degeneration of nervous system due to alcohol,r3,TRUE,http://purl.obolibrary.org/obo/MONDO_0021699,alcohol-induced disorders,manual,,,
ALLERG_ASTHMA,Allergic asthma (mode),r3,TRUE,http://purl.obolibrary.org/obo/MONDO_0004784,allergic asthma,OLS_API_EFO_lookup,,,fuzzy
ALLERG_ASTHMA_EXMORE,Allergic asthma (mode),r2,TRUE,http://purl.obolibrary.org/obo/MONDO_0004784,allergic asthma,MONDO TERM NOT IN EFO,NA,NA,NA
ALLERG_RHINITIS,Allergic rhinitis,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0005854,allergic rhinitis,EFO_OBO,NA,NA,match
AMN2,Transient global amnesia,r2,TRUE,http://purl.obolibrary.org/obo/HP_0010534,transient global amnesia,OLS_API_HP_exact_lookup,NA,NA,match
AMPUTATION,Amputation,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0009632,amputation,manual,NA,NA,NA
AMPUTATION_TOE,Amputation of toe,r2,TRUE,http://www.ebi.ac.uk/efo/EFO_0009632,amputation,manual,NA,NA,NA
ANOSMIA,Anosmia,r2,TRUE,http://www.orpha.net/ORDO/Orphanet_478,anosmia,Zooma_API_lookup,NA,NA,match
ANTIDEPRESSANTS,Depression medications,r2,TRUE,http://purl.obolibrary.org/obo/CHEBI_35469,antidepressant,manual,NA,NA,NA
APHADYSPHAGIA,Aphagia and dysphagia,r3,FALSE,NA,NA,,,,
APHADYSPHAGIA,Aphagia and dysphagia,r3,TRUE,http://purl.obolibrary.org/obo/HP_0002015,Dysphagia,manual,,,
