PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S)
Arthropod-borne viral fevers and viral haemorrhagic fevers,viral hemorrhagic fever,Good,MONDO_0018087
"Bacterial, viral and other infectious agents",N/A,Did not map,N/A
Helminthiases,N/A,Did not map,N/A
Human immunodeficiency virus [HIV] disease,HIV infection,Good,EFO_0000764
Certain infectious and parasitic diseases,parasitic infection,Good,EFO_0001067
Intestinal infectious diseases,dysentery,Good,EFO_1001869
Mycoses,opportunistic mycosis,Good,MONDO_0002312
Other bacterial diseases,bacterial pneumonia,Medium,EFO_1001272
Other bacterial diseases,bacterial sexually transmitted disease,Medium,EFO_0003955
Other diseases caused by chlamydiae,meningitis caused by poliovirus,Medium,MONDO_0024620
Other diseases caused by chlamydiae,Mendelian susceptibility to mycobacterial diseases,Medium,Orphanet_748
Other infectious diseases,infectious disease,Medium,EFO_0005741
Other infectious diseases,dysentery,Medium,EFO_1001869
Other spirochaetal diseases,digestive system disease,Medium,EFO_0000405
Other spirochaetal diseases,respiratory system disease,Medium,EFO_0000684
Other viral diseases,digestive system disease,Medium,EFO_0000405
Other viral diseases,respiratory system disease,Medium,EFO_0000684
"Pediculosis, acariasis and other infestations",N/A,Did not map,N/A
Protozoal diseases,protozoal dysentery,Medium,MONDO_0001955
Protozoal diseases,protozoa infectious disease,Medium,MONDO_0002428
Sequelae of infectious and parasitic diseases,parasitic infection,Good,EFO_0001067
Infections with a predominantly sexual mode of transmission,Recurrent infections,Medium,HP_0002719
Infections with a predominantly sexual mode of transmission,Other immunodeficiency syndrome with predominantly antibody defects,Medium,Orphanet_331244
Tuberculosis,Tuberculosis,Good,Orphanet_3389
Viral infections of the central nervous system,central nervous system infection,Good,EFO_1001456
Viral hepatitis,animal viral hepatitis,Medium,EFO_0007540
Viral hepatitis,viral human hepatitis infection,Medium,EFO_0004196
Viral infections characterized by skin and mucous membrane lesions,autoimmune bullous skin disease,Good,EFO_0008598
Certain zoonotic bacterial diseases,zoonotic bacterial infection,Medium,MONDO_0044746
Certain zoonotic bacterial diseases,zoonosis,Medium,MONDO_0025481
Hernia of abodminal wall,ventral hernia,Good,EFO_1001866
"Hernia of abodminal wall, postoperative",ventral hernia,Good,EFO_1001866
Asthma/COPD-related acute respiratory infections,Recurrent respiratory infections,Medium,HP_0002205
Asthma/COPD-related acute respiratory infections,acute respiratory failure,Medium,MONDO_0001208
Alzheimer's disease (Atypical or mixed),Alzheimer's disease biomarker measurement,Medium,EFO_0006514
Alzheimer's disease (Atypical or mixed),Alzheimer's disease,Medium,EFO_0000249
Alzheimer's disease (Atypical or mixed) (more controls excluded),Alzheimer's disease,Medium,EFO_0000249
Alzheimer's disease (Atypical or mixed) (more controls excluded),Alzheimer's disease biomarker measurement,Medium,EFO_0006514
Alzheimer's disease (Early onset),late-onset Alzheimers disease,Good,EFO_1001870
Alzheimer's disease (Early onset) (more controls excluded),late-onset Alzheimers disease,Good,EFO_1001870
Alzheimer's disease (Late onset),late-onset Alzheimers disease,Medium,EFO_1001870
Alzheimer's disease (Late onset),Alzheimer's disease,Medium,EFO_0000249
Alzheimer's disease (Late onset) (more controls excluded),late-onset Alzheimers disease,Medium,EFO_1001870
Alzheimer's disease (Late onset) (more controls excluded),Alzheimer's disease,Medium,EFO_0000249
Alzheimer's disease (undefined),Alzheimer's disease,Medium,EFO_0000249
Alzheimer's disease (undefined),Alzheimer's disease biomarker measurement,Medium,EFO_0006514
Alzheimer's disease (undefined) (more controls excluded),Alzheimer's disease biomarker measurement,Medium,EFO_0006514
Alzheimer's disease (undefined) (more controls excluded),Alzheimer's disease,Medium,EFO_0000249
Alcoholic gastritis,alcoholic gastritis,Good,MONDO_0004640
Acute alcohol intoxication,alcohol dependence,Medium,EFO_0003829
Acute alcohol intoxication,intoxication,Medium,EFO_0009574
"Mental and behavioural disorders due to alcohol, excluding acute intoxication",mental or behavioural disorder,Medium,EFO_0000677
"Mental and behavioural disorders due to alcohol, excluding acute intoxication",mental or behavioural disorder biomarker,Medium,EFO_0006848
"Alcohol related diseases and deaths, all endoints",N/A,Did not map,N/A
Alcoholic liver disease,alcoholic liver disease,Good,EFO_0008573
Degeneration of nervous system due to alcohol,tetanus,Good,EFO_0005593
Acohol-induced acute pancreatitis,asparaginase-induced acute pancreatitis,Medium,EFO_1001507
Acohol-induced acute pancreatitis,acute pancreatitis,Medium,EFO_1000652
Alcohol-induced chronic pancreatitis,chronic pancreatitis,Good,EFO_0000342
"Use of disulfiram, acamprosate or naltrexone",disulfiram,Medium,CHEBI_4659
"Use of disulfiram, acamprosate or naltrexone",Impaired use of nonverbal behaviors,Medium,HP_0000758
Allergic asthma (mode),atopic asthma,Good,EFO_0010638
Allergic asthma (mode) (more controls excluded),atopic asthma,Good,EFO_0010638
Allergic rhinitis,allergic rhinitis,Good,EFO_0005854
