phenocode	name	category	n_cases	n_controls	path_bucket	path_https
AB1_ARTHROPOD	Arthropod-borne viral fevers and viral haemorrhagic fevers	Infectious and parasitic diseases	866	134772	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_ARTHROPOD.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_ARTHROPOD.gz
AB1_BACT_BIR_OTHER_INF_AGENTS	Bacterial, viral and other infectious agents	Infectious and parasitic diseases	831	134807	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_BACT_BIR_OTHER_INF_AGENTS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_BACT_BIR_OTHER_INF_AGENTS.gz
AB1_HELMINTIASES	Helminthiases	Infectious and parasitic diseases	139	135499	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_HELMINTIASES.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_HELMINTIASES.gz
AB1_HIV	Human immunodeficiency virus [HIV] disease	Infectious and parasitic diseases	242	135396	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_HIV.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_HIV.gz
AB1_INFECTIONS	Certain infectious and parasitic diseases	Infectious and parasitic diseases	32582	103056	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_INFECTIONS.gz
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	Infectious and parasitic diseases	12531	123107	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_INTESTINAL_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_INTESTINAL_INFECTIONS.gz
AB1_MYCOSES	Mycoses	Infectious and parasitic diseases	2299	133339	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_MYCOSES.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_MYCOSES.gz
AB1_OTHER_BACTERIAL	Other bacterial diseases	Infectious and parasitic diseases	11787	123851	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_OTHER_BACTERIAL.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_OTHER_BACTERIAL.gz
AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae	Infectious and parasitic diseases	107	135531	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_OTHER_CHLAMYDIAE.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_OTHER_CHLAMYDIAE.gz
AB1_OTHER_INFECTIONS	Other infectious diseases	Infectious and parasitic diseases	696	134942	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_OTHER_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_OTHER_INFECTIONS.gz
AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases	Infectious and parasitic diseases	674	134964	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_OTHER_SPIROCHAETAL.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_OTHER_SPIROCHAETAL.gz
AB1_OTHER_VIRAL	Other viral diseases	Infectious and parasitic diseases	2033	133605	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_OTHER_VIRAL.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_OTHER_VIRAL.gz
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations	Infectious and parasitic diseases	389	135249	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz
AB1_PROTOZOAL	Protozoal diseases	Infectious and parasitic diseases	169	135469	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_PROTOZOAL.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_PROTOZOAL.gz
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	Infectious and parasitic diseases	812	134826	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz
