phenocode	name	n_cases	n_controls	path_bucket	path_https
AB1_ARTHROPOD	Arthropod-borne viral fevers and viral haemorrhagic fevers	1108	175791	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_ARTHROPOD.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_ARTHROPOD.gz
AB1_BACT_BIR_OTHER_INF_AGENTS	Bacterial, viral and other infectious agents	1086	175813	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_BACT_BIR_OTHER_INF_AGENTS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_BACT_BIR_OTHER_INF_AGENTS.gz
AB1_HELMINTIASES	Helminthiases	192	176707	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_HELMINTIASES.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_HELMINTIASES.gz
AB1_HIV	Human immunodeficiency virus [HIV] disease	295	176604	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_HIV.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_HIV.gz
AB1_INFECTIONS	Certain infectious and parasitic diseases	43011	133888	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_INFECTIONS.gz
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	16735	160164	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_INTESTINAL_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_INTESTINAL_INFECTIONS.gz
AB1_MYCOSES	Mycoses	2995	173904	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_MYCOSES.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_MYCOSES.gz
AB1_OTHER_BACTERIAL	Other bacterial diseases	15222	161677	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_OTHER_BACTERIAL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_OTHER_BACTERIAL.gz
AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae	141	176758	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_OTHER_CHLAMYDIAE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_OTHER_CHLAMYDIAE.gz
AB1_OTHER_INFECTIONS	Other infectious diseases	936	175963	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_OTHER_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_OTHER_INFECTIONS.gz
AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases	904	175995	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_OTHER_SPIROCHAETAL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_OTHER_SPIROCHAETAL.gz
