AB1_ARTHROPOD	Arthropod-borne viral fevers and viral haemorrhagic fevers
AB1_BACT_BIR_OTHER_INF_AGENTS	Bacterial, viral and other infectious agents
AB1_HELMINTIASES	Helminthiases
AB1_HIV	Human immunodeficiency virus [HIV] disease
AB1_INFECTIONS	Certain infectious and parasitic diseases
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases
AB1_MYCOSES	Mycoses
AB1_OTHER_BACTERIAL	Other bacterial diseases
AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae
AB1_OTHER_INFECTIONS	Other infectious diseases
AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases
AB1_OTHER_VIRAL	Other viral diseases
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations
AB1_PROTOZOAL	Protozoal diseases
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases
AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission
AB1_TUBERCULOSIS	Tuberculosis
AB1_VIRAL_CNS	Viral infections of the central nervous system
AB1_VIRAL_HEPATITIS	Viral hepatitis
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	Viral infections characterized by skin and mucous membrane lesions
AB1_ZOONOTIC_BACTERIAL	Certain zoonotic bacterial diseases
ABDOMINALPAIN	Pain in abdomen/pelvis
ABDOM_HERNIA	Hernia of abodminal wall
ABDOM_HERNIA_POSTOP	Hernia of abodminal wall, postoperative
ACUTE_RESPIRATORY_INFECTIONS	Asthma/COPD-related acute respiratory infections
AD_AM	Alzheimer’s disease (Atypical or mixed)
AD_AM_EXMORE	Alzheimer’s disease (Atypical or mixed) (more controls excluded)
AD_EO	Alzheimer’s disease (Early onset)
AD_EO_EXMORE	Alzheimer’s disease (Early onset) (more controls excluded)
AD_LO	Alzheimer’s disease (Late onset)
AD_LO_EXMORE	Alzheimer’s disease (Late onset) (more controls excluded)
AD_U	Alzheimer’s disease (undefined)
AD_U_EXMORE	Alzheimer’s disease (undefined) (more controls excluded)
ALCOETHTOXIC	Toxic effect of ethanol
ALCOGASTRITIS	Alcoholic gastritis
ALCOHOLACUTE10	Acute alcohol intoxication
ALCOHOLMENTAL	Mental and behavioural disorders due to alcohol, excluding acute intoxication
ALCOHOL_RELATED	Alcohol related diseases and deaths, all endoints
ALCOLIVER	Alcoholic liver disease
ALCONEURODEGEN	Degeneration of nervous system due to alcohol
ALCOPANCACU	Acohol-induced acute pancreatitis
ALCOPANCCHRON	Alcohol-induced chronic pancreatitis
ALCOTOXIC	Toxic effect of unspecified or or other (than ethanol) alcohols
ALCO_PRESCRIPTION	Use of disulfiram, acamprosate or naltrexone
ALLERG_ASTHMA	Allergic asthma (mode)
ALLERG_ASTHMA_EXMORE	Allergic asthma (mode) (more controls excluded)
ALLERG_RHINITIS	Allergic rhinitis
AMN2	Transient global amnesia
ANOSMIA	Anosmia
ANTIDEPRESSANTS	Depression medications
APHADYSPHAGIA	Aphagia and dysphagia
APPENDACUT_COMPLIC	Acute appendicitis, with complications
APPENDACUT_NOCOMPLIC	Acute appendicitis, no complications
APPENDICITIS_BROAD	Appendicitis, broad definition
ARTHRO_SPEC	Other specific arthropathies
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections
ASTHMA_ALLERG	Asthma and allergy
ASTHMA_ALLERG_EXMORE	Asthma and allergy (more controls excluded)
ASTHMA_CHILD	Childhood asthma (age<16)
ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more controls excluded)
ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma
ASTHMA_HOSPITAL_MAIN	Asthma, hospital admissions , main diagnosis only
ASTHMA_INFECTIONS	Asthma-related infections
ASTHMA_MIXED	Asthma mixed form (mode)
ASTHMA_MIXED_EXMORE	Asthma mixed form (mode) (more controls excluded)
ASTHMA_MODE	Asthma (mode)
ASTHMA_NAS	Asthma, unspecified (mode)
ASTHMA_NAS_EXMORE	Asthma, unspecified (mode) (more controls excluded)
ASTHMA_NONALLERG	Non-allergic asthma
ASTHMA_NOS	Undetermined asthma
ASTHMA_NOS_EXMORE	Undetermined asthma (more controls excluded)
ASTHMA_OBESITY	Obesity related asthma
