AB1_AMOEBIASIS	Amoebiasis
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection
AB1_ARTHROPOD	Arthropod-borne viral fevers and viral haemorrhagic fevers
AB1_ASPERGILLOSIS	Aspergillosis
AB1_ATYPICAL_CNS_VIRUS	Atypical virus infections of central nervous system
AB1_BACTINF_NOS	"Bacterial infection, other or unspecified"
AB1_BACT_BIR_OTHER_INF_AGENTS	"Bacterial, viral and other infectious agents"
AB1_BACT_INTEST_OTH	Other bacterial intestinal infections
AB1_CANDIDIASIS	Candidiasis
AB1_CHLAMYDIA_OTHER	Other sexually transmitted chlamydial diseases
AB1_CHOLERA	Cholera
AB1_CMV	Cytomegaloviral disease
AB1_DERMATOPHYTOSIS	Dermatophytosis
AB1_EARLY_SYPHILIS	Early syphilis
AB1_EBV	Infectious mononucleosis
AB1_ERYSIPELAS	Erysipelas
AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin
AB1_GHLAMY_OTHER	Other diseases caused by chlamydiae
AB1_GONOCOCCAL	Gonococcal infection
AB1_HELMINTIASES	Helminthiases
AB1_HEPATITIS_OTHER_VIRAL	Other  viral hepatitis
AB1_HERPES_SIMPLEX	Herpesviral [herpes simplex] infections
AB1_HIV	Human immunodeficiency virus [HIV] disease
AB1_HIV_NOS	Unspecified human immunodeficiency virus [HIV] disease
AB1_INFECTIONS	Certain infectious and parasitic diseases
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases
AB1_LATE_SYPHILIS	Late syphilis
AB1_MALARIA	Malaria
AB1_MEASLES	Measles
AB1_MENINGOCOCCAL	Meningococcal infection
AB1_MUMPS	Mumps
AB1_MYCOSES	Mycoses
AB1_OTHER_BACTERIAL	Other bacterial diseases
AB1_OTHER_BACT_INOTHER	Other bacterial agents as the cause of diseases classified to other chapters
AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae
AB1_OTHER_CONDITIONS	Human immunodeficiency virus [HIV] disease resulting in other conditions
AB1_OTHER_INFECTIONS	Other infectious diseases
AB1_OTHER_MYCOBAC	Infection due to other mycobacteria
AB1_OTHER_PROTOZOAL	Other protozoal intestinal diseases
AB1_OTHER_SEPSIS	Other septicaemia
AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases
AB1_OTHER_SUPERF_MYCOSIS	Other superficial mycoses
AB1_OTHER_VIRAL	Other viral diseases
AB1_PARASITIC_NOS	Unspecified parasitic disease
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	"Pediculosis, acariasis and other infestations"
AB1_PNEUMOCYSTOSIS	Pneumocystosis
AB1_POLIOMYELITIS	Acute poliomyelitis
AB1_PROTOZOAL	Protozoal diseases
AB1_RESP_TUBERCU	Respiratry tuberculosis
AB1_RESP_TUBERCU_CONF	"Respiratory tuberculosis, bacteriologically and histologically confirmed"
AB1_RESP_TUBERCU_NONCONF	"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
AB1_RUBELLA	Rubella [German measles]
AB1_SALMONELLA_OTH	Other salmonella infections
AB1_SCABIES	Scabies
AB1_SCARLET_FEVER	Scarlet fever
AB1_SCHISTOSOMIASIS	Schistosomiasis [bilharziasis]
AB1_SEPSIS	Septicaemia
