query	term	label	source	quality	action
Arthropod-borne viral fevers and viral haemorrhagic fevers	http://purl.obolibrary.org/obo/MONDO_0018087	viral hemorrhagic fever	OLS API EFO lookup	fuzzy	check if valid
Bacterial, viral and other infectious agents	http://purl.obolibrary.org/obo/MONDO_0025294	tick-borne infectious disease	OLS API EFO lookup	fuzzy	check if valid
Helminthiases	http://purl.obolibrary.org/obo/MONDO_0025082	helminthiasis, animal	OLS API EFO lookup	fuzzy	check if valid
Human immunodeficiency virus [HIV] disease	http://www.ebi.ac.uk/efo/EFO_0000764	HIV infection	OLS API EFO lookup	match	
Certain infectious and parasitic diseases	http://www.ebi.ac.uk/efo/EFO_0001067	parasitic infection	OLS API EFO lookup	fuzzy	check if valid
Intestinal infectious diseases	http://purl.obolibrary.org/obo/MONDO_0000916	intestinal infectious disease	OLS API EFO lookup	fuzzy	check if valid
Mycoses	http://purl.obolibrary.org/obo/MONDO_0002041	fungal infectious disease	EFO OBO	match	
Other bacterial diseases	http://www.ebi.ac.uk/efo/EFO_1001272	bacterial pneumonia	OLS API EFO lookup	fuzzy	check if valid
Other diseases caused by chlamydiae	http://purl.obolibrary.org/obo/MONDO_0024294	skin disease caused by infection	OLS API EFO lookup	fuzzy	check if valid
Other infectious diseases	http://www.ebi.ac.uk/efo/EFO_1001869	dysentery	OLS API EFO lookup	fuzzy	check if valid
Other spirochaetal diseases					
Other viral diseases	http://purl.obolibrary.org/obo/MONDO_0018087	viral hemorrhagic fever	OLS API EFO lookup	fuzzy	check if valid
Pediculosis, acariasis and other infestations					
Protozoal diseases	http://purl.obolibrary.org/obo/MONDO_0001955	protozoal dysentery	OLS API EFO lookup	fuzzy	check if valid
Sequelae of infectious and parasitic diseases	http://www.ebi.ac.uk/efo/EFO_0001067	parasitic infection	OLS API EFO lookup	fuzzy	check if valid
Infections with a predominantly sexual mode of transmission	http://www.ebi.ac.uk/efo/EFO_0009567	Spirochaetales Infections	OLS API EFO lookup	fuzzy	check if valid
Tuberculosis	http://www.orpha.net/ORDO/Orphanet_3389	Tuberculosis	EFO OBO	match	
Viral infections of the central nervous system	http://www.ebi.ac.uk/efo/EFO_1001456	central nervous system infection	OLS API EFO lookup	fuzzy	check if valid
Viral hepatitis	http://www.ebi.ac.uk/efo/EFO_0007540	animal viral hepatitis	EFO OBO	match	
Viral infections characterized by skin and mucous membrane lesions	http://www.ebi.ac.uk/efo/EFO_1000680	mucous membrane pemphigoid	OLS API EFO lookup	fuzzy	check if valid
Certain zoonotic bacterial diseases	http://purl.obolibrary.org/obo/MONDO_0044746	zoonotic bacterial infection	OLS API EFO lookup	fuzzy	check if valid
