	term	label	source	quality	action
Amoebiasis	http://www.ebi.ac.uk/efo/EFO_0007144	amebiasis	EFO OBO	match	
Anogenital herpesviral [herpes simplex] infection	http://www.ebi.ac.uk/efo/EFO_0007147	anogenital venereal wart	OLS API EFO lookup	fuzzy	check if valid
Arthropod-borne viral fevers and viral haemorrhagic fevers	http://purl.obolibrary.org/obo/MONDO_0018087	viral hemorrhagic fever	OLS API EFO lookup	fuzzy	check if valid
Aspergillosis	http://www.ebi.ac.uk/efo/EFO_0007157	aspergillosis	EFO OBO	match	
Atypical virus infections of central nervous system	http://www.ebi.ac.uk/efo/EFO_1001456	central nervous system infection	OLS API EFO lookup	fuzzy	check if valid
Bacterial infection, other or unspecified	http://www.ebi.ac.uk/efo/EFO_0000778	anthrax infection	OLS API EFO lookup	fuzzy	check if valid
Bacterial, viral and other infectious agents	http://purl.obolibrary.org/obo/MONDO_0025294	tick-borne infectious disease	OLS API EFO lookup	fuzzy	check if valid
Other bacterial intestinal infections	http://www.ebi.ac.uk/efo/EFO_0000771	Other bacterial intestinal infections	Zooma API lookup	match	
Candidiasis	http://purl.obolibrary.org/obo/MONDO_0002026	candidiasis	EFO OBO	match	
Other sexually transmitted chlamydial diseases	http://www.ebi.ac.uk/efo/EFO_0003955	bacterial sexually transmitted disease	OLS API EFO lookup	fuzzy	check if valid
Cholera	http://www.orpha.net/ORDO/Orphanet_173	Cholera	OLS API ORDO exact lookup	match	check if in OT
Cytomegaloviral disease	http://www.ebi.ac.uk/efo/EFO_0001062	Cytomegaloviral disease	Zooma API lookup	match	
Dermatophytosis	http://purl.obolibrary.org/obo/MONDO_0004678	dermatophytosis	EFO OBO	match	
Early syphilis	http://www.ebi.ac.uk/efo/EFO_0007504	Early syphilis	Zooma API lookup	match	
Infectious mononucleosis	http://www.ebi.ac.uk/efo/EFO_0007326	infectious mononucleosis	EFO OBO	match	
Erysipelas	http://www.ebi.ac.uk/efo/EFO_1001462	erysipelas	EFO OBO	match	
Diarrhoea and gastroenteritis of presumed infectious origin					
Other diseases caused by chlamydiae	http://purl.obolibrary.org/obo/MONDO_0024294	skin disease caused by infection	OLS API EFO lookup	fuzzy	check if valid
Gonococcal infection	http://www.ebi.ac.uk/efo/EFO_0000544	infection	OLS API EFO lookup	fuzzy	check if valid
Helminthiases	http://purl.obolibrary.org/obo/MONDO_0025082	helminthiasis, animal	OLS API EFO lookup	fuzzy	check if valid
Other  viral hepatitis	http://www.ebi.ac.uk/efo/EFO_0004196	viral human hepatitis infection	OLS API EFO lookup	fuzzy	check if valid
Herpesviral [herpes simplex] infections	http://www.ebi.ac.uk/efo/EFO_1001764	Birnaviridae Infections	OLS API EFO lookup	fuzzy	check if valid
Human immunodeficiency virus [HIV] disease	http://www.ebi.ac.uk/efo/EFO_0000764	HIV infection	OLS API EFO lookup	match	
Unspecified human immunodeficiency virus [HIV] disease	http://www.ebi.ac.uk/efo/EFO_0000764	HIV infection	OLS API EFO lookup	fuzzy	check if valid
Certain infectious and parasitic diseases	http://www.ebi.ac.uk/efo/EFO_0001067	parasitic infection	OLS API EFO lookup	fuzzy	check if valid
Intestinal infectious diseases	http://purl.obolibrary.org/obo/MONDO_0000916	intestinal infectious disease	OLS API EFO lookup	fuzzy	check if valid
Late syphilis	http://purl.obolibrary.org/obo/MONDO_0004497	tertiary syphilis	EFO OBO	match	
Malaria	http://www.ebi.ac.uk/efo/EFO_0001068	malaria	EFO OBO	match	
Measles	http://www.ebi.ac.uk/efo/EFO_1002025	measles	EFO OBO	match	
Meningococcal infection	http://www.ebi.ac.uk/efo/EFO_0004249	meningococcal infection	EFO OBO	match	
Mumps	http://www.ebi.ac.uk/efo/EFO_0007383	Mumps virus infectious disease	EFO OBO	match	
Mycoses	http://purl.obolibrary.org/obo/MONDO_0002041	fungal infectious disease	EFO OBO	match	
Other bacterial diseases	http://www.ebi.ac.uk/efo/EFO_1001272	bacterial pneumonia	OLS API EFO lookup	fuzzy	check if valid
Other bacterial agents as the cause of diseases classified to other chapters					
Human immunodeficiency virus [HIV] disease resulting in other conditions	http://www.ebi.ac.uk/efo/EFO_0001675	simian immunodeficiency virus infection	OLS API EFO lookup	fuzzy	check if valid
Other infectious diseases	http://www.ebi.ac.uk/efo/EFO_1001869	dysentery	OLS API EFO lookup	fuzzy	check if valid
Infection due to other mycobacteria	http://www.ebi.ac.uk/efo/EFO_0000778	anthrax infection	OLS API EFO lookup	fuzzy	check if valid
Other protozoal intestinal diseases					
